"gvkey","ticker","permno","conm","state","incorp"
"021003","ZSAN",15187,"ZOSANO PHARMA CORP","CA","DE"
"021033","TTOO",14879,"T2 BIOSYSTEMS INC","MA","DE"
"021082","TELK",88572,"MABVAX THERAPEUTICS HLDGS","CA","DE"
"021126","CRXX",90968,"EPIRUS BIOPHARMACEUTICALS","MA","DE"
"021132","FSCS",13896,"FIBROCELL SCIENCE INC","PA","DE"
"021208","EARS",14865,"ALTAMIRA THERAPEUTICS LTD","",""
"021218","IASG",76373,"INTL AIRLINE SUPPORT GROUP","GA","DE"
"021218","IASG",84664,"INTL AIRLINE SUPPORT GROUP","GA","DE"
"021223","CFRX",14927,"CONTRAFECT CORP","NY","DE"
"021232","NTNX",76963,"NTN BUZZTIME INC","CA","DE"
"021282","EYEG",15510,"KIORA PHARMACEUTICALS INC","CA","DE"
"021362","00B1",14937,"TOKAI PHARMACEUTICALS INC","MA","DE"
"021452","FWP",15009,"FORWARD PHARMA AS","",""
"021598","DRVR",86165,"ACCESSITY CORP","FL","NY"
"021606","WORK",76538,"WORK RECOVERY INC","AZ","CO"
"021619","JAGX",15375,"JAGUAR ANIMAL HEALTH INC-OLD","CA","DE"
"021627","00BW",14995,"CALITHERA BIOSCIENCES INC","CA","DE"
"021659","IMNR",76166,"ORCHESTRA THERAPEUTICS INC","CA","DE"
"021732","PYOL",64822,"YUMA ENERGY INC -OLD","TX","CA"
"021802","PRTO",15015,"PROTEON THERAPEUTICS INC","MA","DE"
"021838","PLC1",16112,"VIVEVE MEDICAL INC","CO",""
"021998","NEOT",15075,"NEOTHETICS INC","CA","DE"
"022177","USHP",83566,"VELOCITY EXPRESS CORP","TX","DE"
"022229","HSGX",15132,"HISTOGENICS CORP","MA","DE"
"022567","QYPI",76335,"QUALITY PRODUCTS INC","OH","DE"
"022673","FLKS",15177,"FLEX PHARMA INC","MA","DE"
"022676","00LU",15268,"CHECK-CAP LTD","",""
"022704","AVGR",15172,"AVINGER INC","CA",""
"022713","HTGM",15374,"HTG MOLECULAR DIAGNOSTICS","AZ","DE"
"023098","RKDA",15382,"ARCADIA BIOSCIENCES INC","TX","DE"
"023241","OPGN",15381,"OPGEN INC","MD","DE"
"023291","BLTI",78071,"BIOLASE INC","CA","DE"
"023422","RTTR",15436,"RITTER PHARMACEUTICALS INC","CA","DE"
"023553","SABB",83551,"PACIFIC CAPITAL BANCORP","CA","DE"
"023813","SNSS",90907,"VIRACTA THERAPEUTICS INC","CA","DE"
"023980","00RX",15416,"ASTRIA THERAPEUTICS INC","MA","DE"
"024114","CTY2",82478,"AVALON CORRECTIONAL SVCS INC","OK","NV"
"024199","SP0C",82215,"AMERI HOLDINGS INC","GA","DE"
"024376","CTSC",76908,"SAFESTITCH MEDICAL INC-OLD","FL","DE"
"024475","CICI",83742,"ISIGN SOLUTIONS INC","CA","DE"
"024497","AUGI",77203,"SOLAR THIN FILMS INC","NY","DE"
"024599","AGLE",16005,"SPYRE THERAPEUTICS INC","MA","DE"
"024658","CBDB",13412,"IDEANOMICS INC","NY",""
"024741","RED2",77364,"AMERICA WEST RESOURCES INC","UT","NV"
"024767","RETX",77169,"VERTEL CORP","CA","CA"
"024781","GNTA",77180,"GENTA INC","NJ","DE"
"024935","CMTR",77348,"CHEMTRAK INC","CA","DE"
"025013","PLC1",77568,"PLC SYSTEMS INC","MA",""
"025095","CTII",77437,"STEMCELLS INC","CA","DE"
"025129","DNAI",15507,"SIERRA ONCOLOGY","CA","DE"
"025215","ADLR",77574,"ALL FOR A DOLLAR INC","AB","DE"
"025430","ERC1",77699,"FUELCELL ENERGY INC","CT","DE"
"025681","LQMD",77865,"CHINA INSONLINE CORP","","DE"
"025683","CCEE",77915,"PAYBOX CORP","FL","DE"
"025750","LRP",77569,"APTOSE BIOSCIENCES INC","ON",""
"025779","JUST",77968,"JUST TOYS INC","NY","DE"
"025805","DLK",87462,"BUDDING TIMES INC","RI","NV"
"025808","ALYD",85673,"INFORMATION ARCHITECTS CORP","FL","NC"
"025993","CRTQ",78846,"KENT INTL HOLDINGS INC","CA","NV"
"025999","TRGT",91184,"GYRE THERAPEUTICS INC","CA","DE"
"026009","PTIH",78113,"PTI HOLDING INC","DE","DE"
"026033","CAF1",78795,"CAPITOL AMERICAN FINL CORP","OH","OH"
"026064","DYTK",78214,"DYNTEK INC","CA","DE"
"026094","MIRN",15787,"MIRNA THERAPEUTICS INC","TX","DE"
"026148","NBRV",15656,"NABRIVA THERAPEUTICS PLC","",""
"026747","SHM",79124,"SHEFFIELD PHARMACEUTICL -OLD","MI","DE"
"026755","010V",15950,"PROTEOSTASIS THERAPEUTICS","MA","DE"
"026809","TMOT",86536,"CERVOMED INC","MA","DE"
"026900","CHMP",78816,"CHAMPION INDUSTRIES INC","WV","WV"
"026922","MILB",84321,"PROTAGENIC THERAPEUTICS INC","NY","DE"
"027141","ENIC",16034,"ENEL CHILE SA","",""
"027201","017Q",16255,"GEMPHIRE THERAPEUTICS INC","MI","DE"
"027299","0153",16120,"51TALK ONLINE EDU GROUP -ADR","",""
"027699","AZRX",16377,"FIRST WAVE BIOPHARMA INC","FL","DE"
"027756","SHMN",78839,"SHAMAN PHARMACEUTICALS INC","CA","DE"
"027765","OLGC",78836,"CAPSTONE THERAPEUTICS CORP","AZ","DE"
"027786","CSPK",78877,"CHESAPEAKE ENERGY CORP","OK","OK"
"027913","SCO2",79006,"SUPERCONDUCTOR TECHNOLOGIES","TX","DE"
"027920","VICL",79022,"VICAL INC","CA","DE"
"027939","SYBD",93237,"TENAX THERAPEUTICS INC","NC","DE"
"028016","BROC",78959,"TEXTMUNICATION HOLDINGS -OLD","GA","GA"
"028086","OBLN",16393,"OBALON THERAPEUTICS INC","CA","DE"
"028285","AA3T",79167,"SPECTRUM GROUP INTL INC","CA","DE"
"028365","SNES",16532,"SENESTECH INC","AZ","DE"
"028461","HRVY",79271,"TRESTLE HOLDINGS INC -OLD","CA","DE"
"028532","AERN",79367,"AER ENERGY RESOURCES INC","AZ","GA"
"028564","SGY",79444,"STONE ENERGY CORP","LA","DE"
"028691","DME1",79480,"ALLEGRO BIODIESEL CORP","CA","MN"
"028716","GOVT",79631,"BERKELEY TECHNOLOGY LTD","",""
"028795","OXGN",79516,"MATEON THERAPEUTICS INC -OLD","CA","DE"
"028852","JAG",92178,"JAGUAR MINING INC","ON",""
"029018","BIOD",92032,"ALBIREO PHARMA INC","MA","DE"
"029063","EWEB",79393,"ECO-TRADE CORP","DC","DE"
"029086","IFLM",79702,"PALATIN TECHNOLOGIES INC","NJ","DE"
"029293","CTII",77437,"MICROBOT MEDICAL INC","MA","DE"
"029319","POSI",80017,"POSITRON CORP","NY","TX"
"029378","01ST",16940,"BEST INC ADS","",""
"029403","CAFE",79945,"COUNTRY STAR RESTAURANTS INC","CA","DE"
"029687","LPTN",13648,"APOLLO ENDOSURGERY INC","TX","DE"
"029708","PRCT",80265,"IFLI ACQUISITION CORP-OLD","FL","DE"
"029746","NMSS",80257,"LIVE MICROSYSTEMS INC","PA","DE"
"029803","INS1",80334,"EBT INTERNATIONAL INC","MA","DE"
"029874","URMD",80372,"UROMED CORP","CA","DE"
"030012","HMSR",80452,"POINT THERAPEUTICS INC","MA","DE"
"030216","PNDA",80564,"PANDA PROJECT INC","NY","FL"
"030236","TGEN",80577,"AMPLIPHI BIOSCIENCES CORP","CA","WA"
"030281","LJPC",80640,"LA JOLLA PHARMACEUTICAL CO","MA","DE"
"030311","00AW",14708,"VIRIDIAN THERAPEUTICS INC","MA","DE"
"030328","FA1A",80625,"COMMUNITYONE BANCORP","NC","NC"
"030398","NPIX",80652,"FALCONSTOR SOFTWARE INC","TX","DE"
"030398","NPIX",89099,"FALCONSTOR SOFTWARE INC","TX","DE"
"030614","FBST",80812,"ENERGY FOCUS INC","OH","DE"
"030649","WAVX",80858,"WAVE SYSTEMS CORP  -CL A","MA","DE"
"030903","VOXL",81117,"VOXEL","FL","CA"
"031177","BKYS",90101,"SAVARA INC","TX","DE"
"031193","ACTC",82248,"DIGITAL ANGEL CORP-OLD2","CT","DE"
"031249","PIPK",90926,"ALTIMMUNE INC","MD","DE"
"031301","00B1",14937,"ELEDON PHARMACEUTICALS INC","CA","DE"
"031484","TCPI",81280,"TCPI INC","FL","FL"
"031563","TMSR",81281,"CENTERSPAN COMMUN CORP","OR","OR"
"031578","PCMS",81502,"AZZURRA HOLDING CORP","CA","DE"
"031624","01NX",16755,"BLUE APRON HOLDNG INC","NY","DE"
"031857","NINE",81632,"NUMBER NINE VISUAL TECH CORP","CO","DE"
"032014","DTM",63546,"U.S. GOLD CORP","NV","NV"
"032018","KALA",16824,"KALA BIO INC","MA","DE"
"032074","XELA",15271,"EXELA TECHNOLOGIES INC","TX","DE"
"032078","TBIO",88471,"PRECIPIO INC","CT","DE"
"032193","01Q3",16818,"CIBUS INC","CA","DE"
"032267","TPHI",90604,"MOLECULAR TEMPLATES","TX","DE"
"032271","SNUS",82526,"ACHIEVE LIFE SCIENCES INC","BC","DE"
"032316","JAGX",15375,"JAGUAR HEALTH INC","CA","DE"
"032365","MIRN",15787,"SYNLOGIC INC","MA","DE"
"032380","HAIR",16987,"RESTORATION ROBOTIC INC","CA","DE"
"032381","NCNA",16929,"NUCANA PLC -ADS","",""
"032459","PFTR",91471,"ACER THERAPEUTICS INC","MA","DE"
"032795","ODT",17154,"ODONATE INC","NY","DE"
"032858","SNTT",89411,"ELOXX PHARMACEUTICALS INC","MA","DE"
"032901","RXII",92594,"SELLAS LIFE SCIENCES GROUP I","NY","DE"
"032961","NEOT",15075,"EVOFEM BIOSCIENCES INC","CA","DE"
"032984","BBMO",13965,"NEUBASE THERAPEUTICS INC","PA","DE"
"033047","WPCS",90640,"DROPCAR INC","NY","DE"
"034528","OVSC",13883,"MILLENDO THERAPEUTICS INC","MI","DE"
"034621","LEVB",17091,"CBDMD INC","NC","NC"
"034709","NEXM",88177,"SEELOS THERAPEUTICS INC","NY","NV"
"035477","FLKS",15177,"SALARIUS PHARMACEUTICALS INC","TX","DE"
"035632","VICL",79022,"FRESH TRACKS THERAPEUTIC INC","CO","DE"
"035712","HSGX",15132,"OCUGEN INC","PA","DE"
"035850","HAIR",16987,"VENUS CONCEPT INC","ON","DE"
"036003","WIR1",81761,"OBLONG INC","CO","DE"
"036014","017Q",16255,"NEUROBO PHARMACEUTICALS INC","MA","DE"
"036044","PRTO",15015,"PROTARA THERAPEUTICS INC","NY","DE"
"036356","HOTR",13455,"SONNET BIOTHERAPEUTICS HOLD","NJ","DE"
"036475","RTTR",15436,"QUALIGEN THERAPEUTICS INC","CA","DE"
"036506","BPMX",15443,"TIMBER PHARMACEUTICALS INC","NJ","DE"
"036525","TANC",14046,"HISTOGEN INC","CA","DE"
"036535","WPCS",90640,"AYRO INC","TX","DE"
"037396","MYOS",14820,"MEDAVAIL HOLDINGS INC","AZ","DE"
"037588","010V",15950,"KINETA INC","WA","DE"
"037640","SP0C",82215,"ENVERIC BIOSCIENCES INC","FL","DE"
"038496","NTNX",76963,"ETERNA THERAPEUTICS INC","MA","DE"
"038539","GIXC",14094,"VYANT BIO INC","NJ","DE"
"038711","NRLS",92252,"PALISADE BIO INC","CA","DE"
"039104","OVSC",13883,"TEMPEST THERAPEUTICS INC","CA","DE"
"060888","WIR1",81761,"GLOWPOINT INC -OLD","CO","DE"
"060916","HWYM",81713,"REMOTE DYNAMICS INC","TX","DE"
"060938","NEIB",81726,"NORTHEAST INDIANA BANCORP","IN","DE"
"061068","ACRS",81849,"SMS ALTERNATIVES INC","NC","DE"
"061112","UACA",82221,"WHITE RIVER CAPITAL INC","CA","IN"
"061112","UACA",91728,"WHITE RIVER CAPITAL INC","CA","IN"
"061140","AA09",82156,"WINDTREE THERAPEUTICS INC","PA","DE"
"061166","CLGY",82163,"CELLEGY PHARMACEUTICALS -OLD","PA","DE"
"061314","PCTH",82271,"PACIFIC AEROSPACE&ELECTR INC","WA","WA"
"061414","SNUS",82526,"SONUS PHARMACEUTICALS INC","WA","DE"
"061536","NXUS",80655,"POINTER TELOCATION LTD","",""
"061711","MHTT",82670,"TG THERAPEUTICS INC","NC","DE"
"061717","ERGO",82695,"ERGO SCIENCE CORP","MA","DE"
"061755","ELCO",82693,"ELCOM INTERNATIONAL INC","MA","DE"
"061766","SPAB",82747,"ASTROTECH CORP","TX","DE"
"061836","TTNP",82848,"TITAN PHARMACEUTICALS INC","CA","DE"
"061899","HYBN",82824,"ACERAGEN INC","PA","DE"
"062110","NEXM",88177,"APRICUS BIOSCIENCES INC","CA","NV"
"062304","PCRV",83298,"RADIOIO INC","NY","NV"
"062488","GGEN",83267,"GALAGEN INC","CA","DE"
"062497","ORTC",83543,"FORTICELL BIOSCIENCE INC","NY","DE"
"062525","HE17",83762,"AIM IMMUNOTECH INC","FL","DE"
"062923","NOVT",83535,"NOVT CORP","CA","FL"
"063026","VRLK",83709,"EXELED HOLDINGS INC","CO","DE"
"063030","ENMD",83651,"CASI PHARMACEUTICALS INC","",""
"063059","AMSS",85523,"TRULI MEDIA GROUP INC","TX","DE"
"063062","TMOT",86536,"RESTORGENEX CORP-OLD","IL","NV"
"063081","ARDM",83622,"ARADIGM CORP","CA","CA"
"063138","IMN",83602,"GLASSBRIDGE ENTERPRISES INC","NY","DE"
"063147","AVS",83588,"TIMCO AVIATION SERVICES INC","NC","DE"
"063451","TLSP",83915,"TELESPECTRUM WORLDWIDE INC","PA","DE"
"063562","AEL2",88240,"AETERNA ZENTARIS INC","SC",""
"063671","ORCT",84008,"BEEIO HONEY LTD","",""
"063673","CMZC",91043,"COMPTON PETROLEUM CORP","AB",""
"063687","UBCD",84140,"CENTRUE FINANCIAL CORP","IL","DE"
"063716","PGTV",84117,"XANADOO CO","PA","DE"
"063790","BKYS",90101,"MAST THERAPEUTICS","CA","DE"
"063912","VTCH",84282,"A CLEAN SLATE INC -OLD","FL","DE"
"063915","ALLN",84187,"ALLIN CORP","CO","DE"
"063979","CLIK",84237,"TIGER X MEDICAL INC","CA","DE"
"064041","NEOM",84239,"NEOMEDIA TECHNOLOGIES INC","CO","DE"
"064132","WHRT",84352,"WORLD HEART CORP","UT","DE"
"064163","AA3G",84302,"AULT ALLIANCE INC","NV","DE"
"064176","MILB",84321,"MILLBROOK PRESS INC","CA","DE"
"064200","TDRP",84335,"DIGITAL INFO SECURITY CO","CO","DE"
"064515","CTIC",84604,"CTI BIOPHARMA CORP","WA","DE"
"064699","FLGS",84734,"FLAGSTAR BANCORP INC","MI","MI"
"064747","TIW1",86194,"TELESYSTEM INTL WIRELESS INC","QC",""
"064796","MTSL",84819,"MER TELEMGMT SOLUTIONS LTD","",""
"064865","CRDM",85005,"CARDIMA INC","CA","DE"
"064930","TIBB",85047,"TIB FINANCIAL CORP","FL","FL"
"065016","SPRX",85212,"GUIDED THERAPEUTICS INC","GA","DE"
"065243","HYSQ",85293,"NUVELO INC","CA","DE"
"065247","TACX",85320,"HELIOS AND MATHESON ANALYTIC","NY","DE"
"065342","NTFY",85303,"NOTIFY TECHNOLOGY CORP","CA","CA"
"065464","AMEN",85354,"AMEN PROPERTIES INC","TX","DE"
"065526","HCMU",85909,"HANOVER CAPITAL MTG HOLDINGS","NJ","MD"
"065621","CHC3",85420,"CENTERLINE HOLDING CO","NY","DE"
"065658","TMA9",85509,"TOYMAX INTERNATIONAL INC","NY","DE"
"065838","SNTT",89411,"SEVION THERAPEUTICS INC","CA","DE"
"065908","FTGX",88161,"FIBERNET TELECOM GROUP INC","CO","DE"
"066062","ISAC",85697,"PASSPORT BRANDS INC","NY","DE"
"066281","RAS",85772,"RAIT FINANCIAL TRUST","PA","MD"
"106126","APDN",15057,"APPLIED DNA SCIENCES INC","NY","DE"
"110728","PDII",86083,"INTERPACE BIOSCIENCES INC","NJ","DE"
"112759","USU",86233,"CENTRUS ENERGY CORP","MD","DE"
"113530","ELC",88850,"LIME ENERGY CO","NJ","DE"
"114203","CTEX",15417,"CEMTREX INC","NY","DE"
"114415","WERY",14355,"RICEBRAN TECHNOLOGIES","TX","CA"
"114956","HMPR",91431,"XENITH BANKSHARES INC","VA","VA"
"115077","NAMI",88409,"MERRIMAN HOLDINGS INC","CA","DE"
"117902","ETM",86560,"AUDACY INC","PA","PA"
"118228","VERT",86738,"VERTICALNET INC","PA","PA"
"120656","AOBO",90780,"AMERICAN ORIENTAL BIOENGR","","NV"
"121315","FCCM",87107,"FOCAL COMMUNICATIONS CORP","IL","DE"
"121415","STAD",86999,"STUDENT ADVANTAGE INC","NY","DE"
"122233","TRYG",87095,"TROY GROUP INC","WV","DE"
"122874","IGLD",87168,"INTERNET GOLD-GOLDEN LINES","",""
"122916","COTV",90539,"REGENETP INC","UT","DE"
"125531","PFTR",91471,"OPEXA THERAPEUTICS INC","TX","TX"
"125583","TPCS",87349,"SUNCOM WIRELESS HOLDINGS INC","WA","DE"
"127177","ECRU",87484,"HRSOFT INC","FL",""
"127383","WPCS",90640,"WPCS INTERNATIONAL INC","CA","DE"
"127464","ZTEL",87518,"TRINSIC INC","FL","DE"
"129120","TLXS",87634,"PROXIM WIRELESS CORP","CA","DE"
"133045","IISX",87779,"INTEGRATED INFORMATION SYS","NC","DE"
"136306","ICOH",86270,"PENDRELL CORP","WA","WA"
"137090","NRM2",89833,"BELLUS HEALTH INC","QC",""
"137373","CAPT",88332,"CAPSTONE GREEN ENERGY CORP","CA","DE"
"137722","TBIO",88471,"TRANSGENOMIC INC","NE","DE"
"137861","AIRN",88419,"AIRSPAN NETWORKS HOLDINGS IN","FL","WA"
"138747","TELK",88572,"TELIK INC -OLD","CA","DE"
"140023","DCTU",89169,"DELCATH SYSTEMS INC","NY","DE"
"140042","CIPH",88620,"ASPIRA WOMENS HEALTH INC","TX","DE"
"141278","MOSY",89029,"MOSYS INC","CA","DE"
"141983","KCIN",88910,"BEARINGPOINT INC","VA","DE"
"143403","JE",13185,"JUST ENERGY GROUP INC","ON",""
"143770","NVCN",14660,"NEOVASC INC","BC",""
"144382","NEPT",92222,"NEPTUNE WELLNESS SOLUTION IN","QC","DE"
"144887","NWBT",89277,"NORTHWEST BIOTHERAPEUTICS","MD","DE"
"146564","PRHI",90658,"BAZI INTERNATIONAL INC -OLD","CA","NV"
"148396","SYRX",14610,"INPIXON","CA","NV"
"148552","SPDU",92686,"NILE THERAPEUTICS INC","CA","DE"
"149477","QTWW",89452,"QUANTUM FUEL SYS TECH WORLDW","CA","DE"
"150761","HTMC",16670,"ONTRAK INC","NV","DE"
"150761","HTMC",89956,"ONTRAK INC","NV","DE"
"151423","NEPO",90341,"NEPHROS INC","NJ","DE"
"151928","CBMX",89613,"COMBIMATRIX CORP","CA","DE"
"151928","CBMX",16852,"COMBIMATRIX CORP","CA","DE"
"154605","ONIC",90170,"ORAGENICS INC","FL","FL"
"155393","WLL",89901,"WHITING PETROLEUM CORP","CO","DE"
"155616","AIX",89889,"CINEVERSE CORP","NY","DE"
"155754","AHTI",89803,"ASHFORD HOSPITALITY TRUST","TX","MD"
"156617","ACRD",91086,"ACORDA THERAPEUTICS INC","NY","DE"
"157217","DSTI",90084,"DAYSTAR TECHNOLOGIES INC","CA","DE"
"157863","SFOR",90077,"SUNSET FINANCIAL RES INC","FL","MD"
"157865","MSHL",89935,"MEI PHARMA INC","CA","DE"
"160204","TPHI",90604,"THRESHOLD PHARMACEUTICALS","CA","DE"
"160449","CALL",90355,"CALLWAVE INC","MA","DE"
"160488","NURO",90288,"NEUROMETRIX INC","MA","DE"
"160578","BBMO",13965,"OHR PHARMACEUTICAL INC","NY","DE"
"160623","GEED",91070,"GLOBAL ENTERTAINMENT CORP","","NV"
